pH,TDS,Turbidity,WaterTemp,AirTemp,Humidity,Rain,Label
4.65,548.0,91.6,22.6,29.9,51.4,0,Poor
8.59,371.0,37.6,26.5,29.8,73.6,0,Moderate
5.66,356.0,2.5,26.0,35.6,70.9,0,Moderate
7.48,133.0,92.9,29.2,37.3,57.9,1,Poor
5.9,649.0,43.4,29.5,37.8,45.7,0,Poor
6.84,552.0,96.7,20.7,34.8,73.6,1,Poor
6.96,146.0,96.4,25.6,29.9,66.0,1,Poor
5.33,351.0,85.4,29.4,26.1,78.6,0,Poor
8.86,917.0,30.2,27.5,35.1,66.0,0,Poor
7.99,316.0,39.1,32.8,32.3,82.6,0,Moderate
8.73,230.0,85.3,29.9,30.5,67.6,0,Poor
8.53,541.0,32.4,22.4,36.8,68.0,1,Moderate
7.19,987.0,17.8,21.1,26.4,83.8,0,Poor
8.65,318.0,56.1,29.6,31.4,60.2,0,Poor
4.9,705.0,93.7,20.4,25.1,46.7,0,Poor
5.38,785.0,69.9,28.8,31.1,41.4,0,Poor
4.7,314.0,57.4,34.1,25.7,77.8,1,Poor
5.96,755.0,10.6,28.6,26.5,71.0,0,Poor
6.25,431.0,61.9,25.8,26.5,75.2,0,Poor
5.72,669.0,99.0,29.6,33.4,50.6,1,Poor
8.23,670.0,14.9,26.9,34.7,46.8,1,Poor
6.11,582.0,52.3,28.2,32.6,40.7,0,Poor
5.76,181.0,87.9,34.1,37.5,57.5,0,Poor
6.94,852.0,74.3,25.8,29.9,69.5,0,Poor
5.13,389.0,70.0,34.4,28.7,59.6,0,Poor
8.11,268.0,70.5,33.6,36.3,61.9,0,Poor
4.84,137.0,36.6,22.9,27.9,85.2,0,Poor
8.94,632.0,30.1,21.0,37.5,57.4,0,Poor
7.98,710.0,81.1,21.5,25.2,65.7,0,Poor
5.39,115.0,81.2,20.3,37.6,79.2,1,Poor
4.52,561.0,86.8,21.4,25.6,59.8,0,Poor
8.17,304.0,91.4,30.2,36.6,71.1,0,Poor
7.68,681.0,51.6,21.1,31.9,83.1,0,Poor
7.78,257.0,50.7,24.8,37.9,87.5,1,Poor
7.97,722.0,80.0,32.7,26.0,47.4,0,Poor
4.83,448.0,65.3,20.3,32.2,86.3,0,Poor
6.11,943.0,70.5,32.2,37.6,64.6,1,Poor
5.02,224.0,79.8,24.2,31.8,52.9,1,Poor
8.38,407.0,89.1,21.8,33.2,63.0,1,Poor
7.3,202.0,34.5,30.5,34.0,89.0,0,Moderate
5.99,932.0,38.2,29.4,30.9,64.6,0,Poor
4.79,890.0,10.3,33.2,33.2,56.4,1,Poor
5.9,332.0,58.2,31.0,32.6,71.7,1,Poor
5.96,694.0,4.6,32.1,36.7,52.0,0,Poor
7.78,835.0,47.1,24.2,25.6,43.8,0,Poor
7.37,600.0,54.7,22.7,28.7,46.4,0,Poor
8.49,577.0,29.4,31.3,37.4,46.4,1,Moderate
6.62,318.0,59.5,32.1,36.6,47.6,0,Poor
5.04,184.0,4.0,34.9,30.9,46.9,0,Poor
7.71,907.0,4.7,26.2,33.1,72.0,0,Poor
7.92,910.0,82.4,25.6,28.6,49.1,0,Poor
7.03,670.0,36.7,31.6,27.4,57.3,0,Poor
7.97,405.0,13.6,25.1,31.0,84.8,0,Moderate
6.72,414.0,52.7,34.0,29.6,63.7,1,Poor
6.85,753.0,77.2,32.9,32.6,73.4,0,Poor
6.42,907.0,22.4,26.4,26.0,48.6,0,Poor
4.61,898.0,62.7,31.3,37.7,49.6,0,Poor
4.99,802.0,9.4,31.3,37.8,42.0,0,Poor
